4.5,3805,10.56944444
4.52,3822,10.61666667
4.54,3839,10.66388889
4.56,3856,10.71111111
4.58,3873,10.75833333
4.6,3891,10.80833333
4.62,3908,10.85555556
4.64,3925,10.90277778
4.66,3942,10.95
4.68,3960,11
4.7,3977,11.04722222
4.72,3994,11.09444444
4.74,4011,11.14166667
4.76,4029,11.19166667
4.78,4046,11.23888889
4.8,4063,11.28611111
4.82,4080,11.33333333
4.84,4098,11.38333333
4.86,4115,11.43055556
4.88,4132,11.47777778
4.9,4149,11.525
4.92,4167,11.575
4.94,4184,11.62222222
4.96,4201,11.66944444
4.98,4218,11.71666667
5,4235,11.76388889
5.02,4253,11.81388889
5.04,4270,11.86111111
5.06,4287,11.90833333
5.08,4304,11.95555556
5.1,4322,12.00555556
5.12,4339,12.05277778
5.14,4356,12.1
5.16,4373,12.14722222
5.18,4391,12.19722222
5.2,4408,12.24444444
5.22,4425,12.29166667
5.24,4442,12.33888889
5.26,4459,12.38611111
5.28,4477,12.43611111
5.3,4494,12.48333333
5.32,4511,12.53055556
5.34,4529,12.58055556
5.36,4546,12.62777778
5.38,4563,12.675
5.4,4580,12.72222222
5.42,4597,12.76944444
5.44,4615,12.81944444
5.46,4632,12.86666667
5.48,4649,12.91388889
5.5,4666,12.96111111
5.52,4684,13.01111111
5.54,4701,13.05833333
5.56,4718,13.10555556
5.58,4735,13.15277778
5.6,4753,13.20277778
5.62,4770,13.25
5.64,4787,13.29722222
5.66,4804,13.34444444
5.68,4821,13.39166667
5.7,4839,13.44166667
5.72,4856,13.48888889
5.74,4873,13.53611111
5.76,4890,13.58333333
5.78,4908,13.63333333
5.8,4925,13.68055556
5.82,4942,13.72777778
5.84,4959,13.775
5.86,4977,13.825
5.88,4994,13.87222222
5.9,5011,13.91944444
5.92,5028,13.96666667
5.94,5046,14.01666667
5.96,5063,14.06388889
5.98,5080,14.11111111
6,5097,14.15833333
6.02,5114,14.20555556
6.04,5132,14.25555556
6.06,5149,14.30277778
6.08,5166,14.35
6.1,5183,14.39722222
6.12,5201,14.44722222
6.14,5218,14.49444444
6.16,5235,14.54166667
6.18,5252,14.58888889
6.2,5269,14.63611111
6.22,5287,14.68611111
6.24,5304,14.73333333
6.26,5321,14.78055556
6.28,5339,14.83055556
6.3,5356,14.87777778
6.32,5373,14.925
6.34,5390,14.97222222
6.36,5407,15.01944444
6.38,5425,15.06944444
6.4,5442,15.11666667
6.42,5459,15.16388889
6.44,5476,15.21111111
6.46,5493,15.25833333
6.48,5511,15.30833333
6.5,5528,15.35555556
6.52,5545,15.40277778
6.54,5563,15.45277778
6.56,5580,15.5
6.58,5597,15.54722222
6.6,5614,15.59444444
6.62,5631,15.64166667
6.64,5649,15.69166667
6.66,5666,15.73888889
6.68,5683,15.78611111
6.7,5700,15.83333333
6.72,5718,15.88333333
6.74,5735,15.93055556
6.76,5752,15.97777778
6.78,5769,16.025
6.8,5786,16.07222222
6.82,5804,16.12222222
6.84,5821,16.16944444
6.86,5838,16.21666667
6.88,5855,16.26388889
6.9,5873,16.31388889
6.92,5890,16.36111111
6.94,5907,16.40833333
6.96,5924,16.45555556
6.98,5942,16.50555556
7,5959,16.55277778
7.02,5976,16.6
7.04,5993,16.64722222
7.06,6011,16.69722222
7.08,6028,16.74444444
7.1,6045,16.79166667
7.12,6062,16.83888889
7.14,6079,16.88611111
7.16,6097,16.93611111
7.18,6114,16.98333333
7.2,6131,17.03055556
7.22,6148,17.07777778
7.24,6166,17.12777778
7.26,6183,17.175
7.28,6200,17.22222222
7.3,6217,17.26944444
7.32,6235,17.31944444
7.34,6252,17.36666667
7.36,6269,17.41388889
7.38,6286,17.46111111
7.4,6304,17.51111111
7.42,6321,17.55833333
7.44,6338,17.60555556
7.46,6355,17.65277778
7.48,6373,17.70277778
7.5,6390,17.75
7.52,6407,17.79722222
7.54,6424,17.84444444
7.56,6441,17.89166667
7.58,6459,17.94166667
7.6,6476,17.98888889
7.62,6493,18.03611111
7.64,6510,18.08333333
7.66,6528,18.13333333
7.68,6545,18.18055556
7.7,6562,18.22777778
7.72,6579,18.275
7.74,6597,18.325
7.76,6614,18.37222222
7.78,6631,18.41944444
7.8,6648,18.46666667
7.82,6665,18.51388889
7.84,6683,18.56388889
7.86,6700,18.61111111
7.88,6717,18.65833333
7.9,6734,18.70555556
7.92,6752,18.75555556
7.94,6769,18.80277778
7.96,6786,18.85
7.98,6803,18.89722222
8,6821,18.94722222
8.02,6838,18.99444444
8.04,6855,19.04166667
8.06,6872,19.08888889
8.08,6890,19.13888889
8.1,6907,19.18611111
8.12,6924,19.23333333
8.14,6941,19.28055556
8.16,6958,19.32777778
8.18,6976,19.37777778
8.2,6993,19.425
8.22,7010,19.47222222
8.24,7027,19.51944444
8.26,7045,19.56944444
8.28,7062,19.61666667
8.3,7079,19.66388889
8.32,7096,19.71111111
8.34,7113,19.75833333
8.36,7131,19.80833333
8.38,7148,19.85555556
8.4,7165,19.90277778
8.42,7182,19.95
8.44,7200,20
8.46,7217,20.04722222
8.48,7234,20.09444444
8.5,7251,20.14166667
8.52,7269,20.19166667
8.54,7286,20.23888889
8.56,7303,20.28611111
8.58,7320,20.33333333
8.6,7337,20.38055556
8.62,7355,20.43055556
8.64,7372,20.47777778
8.66,7389,20.525
8.68,7407,20.575
8.7,7424,20.62222222
8.72,7441,20.66944444
8.74,7458,20.71666667
8.76,7475,20.76388889
8.78,7493,20.81388889
8.8,7510,20.86111111
8.82,7527,20.90833333
8.84,7544,20.95555556
8.86,7561,21.00277778
8.88,7579,21.05277778
8.9,7596,21.1
8.92,7613,21.14722222
8.94,7630,21.19444444
8.96,7648,21.24444444
8.98,7665,21.29166667
9,7682,21.33888889
9.02,7699,21.38611111
9.04,7717,21.43611111
9.06,7734,21.48333333
9.08,7751,21.53055556
9.1,7768,21.57777778
9.12,7785,21.625
9.14,7803,21.675
9.16,7820,21.72222222
9.18,7837,21.76944444
9.2,7854,21.81666667
9.22,7872,21.86666667
9.24,7889,21.91388889
9.26,7906,21.96111111
9.28,7923,22.00833333
9.3,7940,22.05555556
9.32,7958,22.10555556
9.34,7975,22.15277778
9.36,7992,22.2
9.38,8009,22.24722222
9.4,8027,22.29722222
9.42,8044,22.34444444
9.44,8061,22.39166667
9.46,8078,22.43888889
9.48,8096,22.48888889
9.5,8113,22.53611111
9.52,8130,22.58333333
9.54,8147,22.63055556
9.56,8164,22.67777778
9.58,8182,22.72777778
9.6,8199,22.775
9.62,8216,22.82222222
9.64,8233,22.86944444
9.66,8250,22.91666667
9.68,8268,22.96666667
9.7,8285,23.01388889
9.72,8302,23.06111111
9.74,8319,23.10833333
9.76,8337,23.15833333
9.78,8354,23.20555556
9.8,8371,23.25277778
9.82,8388,23.3
9.84,8405,23.34722222
9.86,8423,23.39722222
9.88,8440,23.44444444
9.9,8457,23.49166667
9.92,8474,23.53888889
9.94,8492,23.58888889
9.96,8509,23.63611111
9.98,8526,23.68333333
10,8543,23.73055556
10.02,,
